         2870646 function calls (2775656 primitive calls) in 41.841 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      240    0.000    0.000    0.000    0.000 type_check.py:81(_asfarray_dispatcher)
      240    0.000    0.000    0.000    0.000 multiarray.py:1043(copyto)
      240    0.000    0.000    0.000    0.000 stride_tricks.py:202(_broadcast_arrays_dispatcher)
      240    0.000    0.000    0.000    0.000 fromnumeric.py:1189(_argmin_dispatcher)
      240    0.000    0.000    0.000    0.000 index_tricks.py:644(__iter__)
      240    0.000    0.000    0.000    0.000 function_base.py:4071(_meshgrid_dispatcher)
      240    0.000    0.000    0.000    0.000 optimize.py:139(_check_unknown_options)
      240    0.000    0.000    0.000    0.000 multiarray.py:77(empty_like)
      219    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 linecache.py:82(updatecache)
      219    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      209    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
